model,year,price,type,distance,fuel,tax,miles per galoon,size
4,2016,15600.0,0,35474.0,0,125.0,60.1,2.0
2,2019,34000.0,2,5525.0,0,145.0,50.4,2.0
1,2018,17500.0,0,6079.0,0,145.0,51.4,2.0
11,2017,14800.0,1,31518.0,0,145.0,60.1,2.0
2,2017,22998.0,2,19505.0,0,145.0,51.4,3.0
1,2018,16798.0,1,14534.0,0,145.0,57.7,1.5
1,2016,15490.0,1,7390.0,3,165.0,44.8,2.0
0,2016,12800.0,1,18343.0,0,20.0,70.6,1.5
0,2017,21800.0,2,20294.0,3,200.0,39.8,3.0
3,2019,25000.0,1,4000.0,0,150.0,55.4,2.0
0,2017,15000.0,0,26052.0,0,145.0,68.9,2.0
2,2019,29998.0,2,10171.0,3,145.0,41.5,2.0
12,2019,23890.0,2,5743.0,3,145.0,38.7,2.0
4,2019,26000.0,2,12209.0,0,145.0,62.8,2.0
2,2017,13500.0,0,48082.0,3,150.0,51.4,2.0
3,2020,27000.0,2,25.0,3,145.0,48.7,2.0
3,2019,27450.0,2,8142.0,0,145.0,52.3,3.0
4,2018,21950.0,0,21947.0,0,150.0,68.9,2.0
2,2016,16998.0,2,44600.0,0,145.0,56.5,3.0
0,2014,10600.0,2,44900.0,0,30.0,64.2,2.0
2,2013,9965.0,2,84633.01661604876,0,30.0,62.8,2.0
1,2019,21000.0,2,2380.0,3,145.0,40.9,1.5
2,2017,15100.0,1,37747.0,0,125.0,60.1,2.0
3,2014,13991.0,1,22908.0,0,125.0,58.9,2.0
11,2016,20998.0,2,26821.0,3,160.0,44.8,2.0
3,2020,30750.0,2,100.0,0,145.0,50.4,3.0
0,2017,11400.0,1,26265.0,0,0.0,83.1,1.5
6,2018,42000.0,2,7123.0,0,145.0,52.3,3.0
1,2019,20500.0,0,1689.0,3,145.0,50.4,2.0
2,2017,16900.0,0,12330.0,0,30.0,64.2,2.0
11,2016,19998.0,0,13085.0,0,145.0,55.4,2.0
2,2019,29998.0,2,10035.0,3,145.0,41.5,2.0
2,2016,11998.0,2,78980.0,0,30.0,70.6,2.0
11,2017,14100.0,0,55782.0,0,145.0,65.7,2.0
2,2013,12750.0,0,35736.0,0,125.0,58.9,2.0
1,2018,18000.0,2,13174.0,0,145.0,49.6,2.0
2,2016,13298.0,2,46392.0,0,0.0,74.3,2.0
0,2017,20250.0,2,20336.0,3,200.0,39.8,3.0
1,2019,21500.0,1,4067.0,3,145.0,52.3,1.5
3,2016,15250.0,1,16584.0,0,30.0,62.8,2.0
2,2017,24000.0,2,15338.0,0,145.0,49.6,3.0
0,2019,16600.0,1,7000.0,0,145.0,68.9,2.0
0,2016,9900.0,1,44008.0,0,0.0,83.1,1.5
13,2019,35998.0,2,2451.0,0,145.0,54.3,2.0
2,2019,23498.0,0,9117.0,0,145.0,54.3,2.0
0,2019,21900.0,1,917.0,3,150.0,44.8,1.5
4,2014,15000.0,0,13858.0,0,125.0,57.6,2.0
2,2017,20998.0,2,30422.0,0,145.0,51.4,3.0
